Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:4qGRptIf2ok9nHdDH6VwzW,"a tender feeling","ソードアート・オンライン ミュージックコレクション","Yuki Kajiura",2016-01-27,127213,48,false,,2022-07-06T14:35:55Z,"anime,soundtrack","Aniplex Inc.",0.252,0.0757,9,-20.244,1,0.0418,0.979,0.783,0.076,0.138,139.418,3
spotify:track:0GONea6G2XdnHWjNZd6zt3,"Summer Of '69","Reckless (30th Anniversary / Deluxe Edition)","Bryan Adams",1984-11-05,216053,85,false,,2022-07-01T10:07:40Z,"","A&M",0.509,0.834,2,-6.205,1,0.0386,0.0183,0,0.0732,0.774,139.13,4
spotify:track:0kHWm2Z7j0mamnEkvGP4Af,"Running Up That Hill - Orchestral Version (from ""Stranger Things"")","Running Up That Hill - Orchestral Version (from ""Stranger Things"")","Samuel Kim",2022-06-09,212317,0,false,,2022-06-16T20:41:16Z,"anime","Samuel Kim Music",0.201,0.391,11,-10.519,0,0.0346,0.64,0.965,0.102,0.0393,88.517,4
spotify:track:31VOknKjFrEX47bZXzqcoF,"Next To Me","Evolve","Imagine Dragons",2017-06-23,230288,72,false,,2022-06-15T17:54:43Z,"","Kid Ina Korner / Interscope",0.301,0.672,2,-4.497,1,0.0625,0.28,0.000031,0.0609,0.384,169.512,3
spotify:track:21JTgoZLDB2F4Fx0uRCmTL,"the lonely","lovestrong.","Christina Perri",2011-05-10,233480,46,false,,2022-06-15T17:41:36Z,"soft pop","Atlantic Records",0.237,0.269,7,-9.61,0,0.0298,0.573,0.000283,0.101,0.0681,81.256,4
spotify:track:0DuWDLjriRPjDRoPgaCslY,"Love In The Dark","25","Adele",2015-11-20,285935,82,false,,2022-06-15T17:37:34Z,"soft pop","XL Recordings",0.331,0.341,9,-6.057,0,0.0309,0.528,0,0.109,0.152,109.821,4
spotify:track:7LwGBxB0h0CVmkOZxYKn0g,"In My Veins","In My Veins","Andrew Belle",2010-05-21,318908,60,false,,2022-06-15T17:31:59Z,"","1L Music Inc.",0.548,0.42,0,-7.842,1,0.0277,0.198,0.00000446,0.0899,0.196,128.012,4
spotify:track:5MzXUNfn8AAcz4Z6j2KgTK,"Let It All Go","Wishes (Deluxe Version)","RHODES;Birdy",2015-09-18,280757,60,false,,2022-06-13T03:03:26Z,"","Ministry of Sound Recordings",0.383,0.43,10,-8.644,1,0.0302,0.817,0.00000104,0.0869,0.174,107.005,4
spotify:track:7AYP21Q4qnxw2WxETEvSRb,"Memories","Memories","Conan Gray",2022-04-15,248818,61,false,,2022-06-13T02:56:32Z,"","Republic Records",0.34,0.684,11,-6.306,1,0.044,0.00979,0,0.348,0.556,112.969,4
spotify:track:1cpVLszZnKUHUjsJDTEi3D,"Black Hole - Acoustic Version","Black Hole (Acoustic Version)","Griff",2021-03-19,175979,48,false,,2022-06-11T08:24:14Z,"","Warner Records",0.824,0.3,1,-6.678,0,0.0565,0.854,0,0.174,0.227,112.867,4
spotify:track:3p52HKLY1X9Vfvkkajpfwd,"Fine","Fine","Cornelia Jakobs",2022-03-09,205961,32,false,,2022-06-10T01:27:49Z,"","WM Sweden",0.341,0.277,5,-12.337,0,0.0608,0.861,0.0000229,0.257,0.19,88.031,4
spotify:track:3EsUkO1XncklrPvQaabHaz,"Tusen gånger om (feat. Newkid)","Tusen gånger om (feat. Newkid)","estraden;Newkid",2022-05-20,196800,37,false,,2022-06-03T16:11:19Z,"swedish pop","Sony Music Local",0.694,0.671,6,-6.687,0,0.04,0.0774,0,0.091,0.428,99.943,4
spotify:track:7uQ7e7nzbtyX87eIYHpj6Z,"De Diepte","De Diepte","S10",2022-03-03,176603,53,false,,2022-05-29T15:27:33Z,"nederpop","Noah's Ark BV",0.502,0.397,2,-8.819,0,0.0282,0.378,0.0000344,0.143,0.159,90.043,4
spotify:track:6ChnGkBwnq2HUJD24YhMhW,"Living Life, In The Night","Living Life, In The Night","Cheriimoya;Sierra Kidd",2018-10-14,122517,1,true,,2022-05-24T20:00:19Z,"german hip hop","Cheriimoya",0.618,0.496,0,-9.972,0,0.0504,0.83,0,0.12,0.255,143.299,4
spotify:track:6EDj1nbl9wo6ivGI1t59G4,"Idiota","PIRATA","Jão",2021-10-20,181626,64,false,,2022-05-17T07:57:54Z,"brazilian pop,new mpb,mpb","Universal Music Ltda.",0.669,0.785,4,-6.093,0,0.0421,0.0685,0,0.566,0.84,131.957,4
spotify:track:1FpVJ7HpZInE2GvhVE2TwT,"Legends Never Die","Legends Never Die","League of Legends;Against The Current",2017-09-15,235000,13,false,,2022-05-12T13:36:11Z,"pop punk","Riot Games",0.498,0.598,4,-6.638,0,0.0377,0.00786,0,0.111,0.0573,140.078,4
spotify:track:23E53f3C9SJ9MqBh1f6hEw,"Juramento eterno de sal","Juramento eterno de sal","Álvaro De Luna",2020-11-05,205546,57,false,,2022-05-07T21:47:36Z,"","WM Spain",0.631,0.594,2,-5.727,1,0.0581,0.0225,0.00000191,0.351,0.716,129.991,4
spotify:track:2OPdYnaZVHhb6Jn4LnHzZ2,"Lo jodiste","Lo jodiste","Babi;Boyfifty",2019-08-16,271306,0,true,,2022-05-03T10:36:07Z,"freestyle","Babi",0.744,0.41,0,-10.61,1,0.47,0.411,0.000207,0.0918,0.644,81.974,4
spotify:track:7ridH3hy4aXG6Kn1XomKrO,"Afterlife","The Greatest Mistake of My Life","Holding Absence",2021-04-16,226546,64,false,,2022-04-19T08:03:00Z,"metalcore,post-hardcore,melodic hardcore","SHARPTONE",0.475,0.963,5,-2.651,0,0.0601,0.0016,0,0.344,0.355,134.013,4
spotify:track:7Ag2ayIQrNteKIatjHlLey,"Immortalized","Black Clouds","Hidden Citizens;Keeley Bumford",2017-09-29,228923,42,false,,2022-04-16T13:28:08Z,"","Silver Side Productions",0.252,0.423,9,-8.801,0,0.0431,0.417,0.00000127,0.0738,0.148,129.859,4
spotify:track:43MZ2K6xe4fvg93C95Fays,"Breathe - Legends of Runeterra Version","Breathe (Legends of Runeterra Version)","Fleurie;Legends of Runeterra",2020-04-30,221996,49,false,,2022-04-11T14:49:34Z,"","Fleurieland Records",0.515,0.631,2,-9.072,0,0.0311,0.0452,0.091,0.0607,0.178,140.021,4
spotify:track:30vl7nX9kTYZRfr7kTi0jU,"Running with the Wild Things","In Our Bones","Against The Current",2016-05-20,222973,44,false,,2022-04-11T07:29:15Z,"pop punk","Fueled By Ramen",0.448,0.93,9,-2.282,1,0.121,0.0000273,0,0.352,0.473,159.986,4
